experiment,run_id,delay_ms,injection_point,bag_file,bag_duration_s,goal_ros_time_s,result_ros_time_s,mission_duration_s,observation_duration_s,result_from_bag,odom_path_length_m,minimum_scan_m,mean_abs_linear_cmd_m_s,max_abs_linear_cmd_m_s,mean_abs_angular_cmd_rad_s,max_abs_angular_cmd_rad_s,stop_command_fraction,mean_cmd_gap_ms,median_cmd_gap_ms,p95_cmd_gap_ms,max_cmd_gap_ms,mean_scan_age_ms,max_scan_age_ms,mean_amcl_age_ms,max_amcl_age_ms,startup_window_s,startup_path_length_5s_m,startup_net_displacement_5s_m,startup_efficiency_5s,startup_angular_sign_changes_5s,startup_reverse_cmd_count_5s,startup_mean_abs_angular_cmd_rad_s,startup_max_abs_angular_cmd_rad_s,time_to_first_motion_s,odom_messages_mission,scan_messages_mission,amcl_messages_mission,cmd_vel_messages_mission,timing_file,timing_scope,timing_event_count_total,timing_event_count_used,requested_delay_ms_from_csv,measured_delay_ms_mean,measured_delay_ms_median,measured_delay_ms_stdev,measured_delay_ms_min,measured_delay_ms_p95,measured_delay_ms_max,delay_error_ms_mean,delay_error_ms_median,delay_error_ms_min,delay_error_ms_max,cycle_interval_ms_mean,cycle_interval_ms_median,cycle_interval_ms_stdev,cycle_interval_ms_min,cycle_interval_ms_p95,cycle_interval_ms_max,cycle_displacement_ms_mean,cycle_displacement_ms_median,cycle_displacement_ms_stdev,cycle_displacement_ms_min,cycle_displacement_ms_p95,cycle_displacement_ms_max,internal_interval_median_ms,internal_interval_max_ms,internal_displacement_median_ms,internal_displacement_max_ms,manual_delay_ms,manual_injection_point,manual_bag_file,manual_timing_csv,manual_result,manual_collision,manual_recovery_observed,manual_timeout,manual_notes,log_available,control_loop_warning_count,map_update_warning_count,total_warn_error_lines,max_reported_loop_time_s,update_duration_ms_mean,update_duration_ms_median,update_duration_ms_stdev,update_duration_ms_min,update_duration_ms_p95,update_duration_ms_max,update_completion_interval_ms_mean,update_completion_interval_ms_median,update_completion_interval_ms_stdev,update_completion_interval_ms_min,update_completion_interval_ms_p95,update_completion_interval_ms_max,update_displacement_ms_mean,update_displacement_ms_median,update_displacement_ms_stdev,update_displacement_ms_min,update_displacement_ms_p95,update_displacement_ms_max,previous_update_age_ms_mean,previous_update_age_ms_median,previous_update_age_ms_stdev,previous_update_age_ms_min,previous_update_age_ms_p95,previous_update_age_ms_max,manual_condition,manual_requested_delay_us
E2 (T-E5),dwa_0ms_run-01,0,dwa_compute_velocity_commands,0ms/run-1/dwa_0ms_run-01.bag,38.767000,165.376000,189.611000,24.235000,,SUCCEEDED,4.541588,0.280964,0.189900,0.220000,0.299059,1.664961,0.028926,100.560166,100.000000,134.000000,211.000000,0.459016,5.000000,24.843750,82.000000,5.000000,0.889563,0.765652,0.860706,3,3,0.390436,1.210537,0.190000,727,122,32,242,/home/andretrap/Desktop/project/results/E2_DWA/0ms/run-1/dwa_0ms_run-01_timing.csv,goal_to_result,240,240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101.958890,100.862862,8.117806,85.417507,111.825149,170.522146,1.958890,0.862862,8.117806,-14.582493,11.825149,70.522146,100.862862,170.522146,0.862862,70.522146,0,dwa_compute_velocity_commands,0ms/dwa_0ms_run-01.bag,0ms/dwa_0ms_run-01_timing.csv,SUCCEEDED,no,no,no,regular path,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_0ms_run-02,0,dwa_compute_velocity_commands,0ms/run-2/dwa_0ms_run-02.bag,39.524000,141.662000,166.674000,25.012000,,SUCCEEDED,4.580047,0.270735,0.184660,0.220000,0.305183,1.722706,0.024000,100.445783,100.000000,132.800000,220.000000,0.248000,8.000000,20.857143,82.000000,5.000000,0.888404,0.781023,0.879130,3,4,0.317820,1.127536,0.174000,751,125,35,250,/home/andretrap/Desktop/project/results/E2_DWA/0ms/run-2/dwa_0ms_run-02_timing.csv,goal_to_result,248,248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101.720066,101.088765,8.593345,88.166025,110.497171,204.072797,1.720066,1.088765,8.593345,-11.833975,10.497171,104.072797,101.088765,204.072797,1.088765,104.072797,0,dwa_compute_velocity_commands,0ms/dwa_0ms_run-02.bag,0ms/dwa_0ms_run-02_timing.csv,SUCCEEDED,no,no,no,regular path,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_0ms_run-03,0,dwa_compute_velocity_commands,0ms/run-3/dwa_0ms_run-03.bag,44.378000,77.021000,107.324000,30.303000,,SUCCEEDED,5.280334,0.266277,0.180166,0.220000,0.278844,1.699599,0.029801,100.099668,99.000000,135.000000,188.000000,0.231788,8.000000,34.945946,113.000000,5.000000,0.665921,0.450226,0.676096,2,40,0.281022,0.927661,0.173000,909,151,37,302,/home/andretrap/Desktop/project/results/E2_DWA/0ms/run-3/dwa_0ms_run-03_timing.csv,goal_to_result,301,301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101.467511,100.633306,7.701477,86.931532,112.879939,185.990702,1.467511,0.633306,7.701477,-13.068468,12.879939,85.990702,100.633306,185.990702,0.633306,85.990702,0,dwa_compute_velocity_commands,0ms/dwa_0ms_run-03.bag,0ms/dwa_0ms_run-03_timing.csv,SUCCEEDED,no,no,no,regular path,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_1000ms_run-01,1000,dwa_compute_velocity_commands,1000ms/run-1/dwa_1000ms_run-01.bag,93.717000,30.863000,97.691000,66.828000,,SUCCEEDED,5.374934,0.245925,0.092270,0.220000,0.241989,1.692290,0.347368,710.925532,1030.500000,1083.050000,1137.000000,0.134731,5.000000,28.516129,75.000000,5.000000,0.516092,0.198023,0.383696,0,2,0.266578,0.452047,1.138000,2004,334,62,95,/home/andretrap/Desktop/project/results/E2_DWA/1000ms/run-1/dwa_1000ms_run-01_timing.csv,goal_to_result,64,64,1000.000000,1000.195328,1000.059500,0.517953,1000.016000,1000.667850,1003.387000,0.195328,0.059500,0.016000,3.387000,1050.161830,1048.323691,27.227052,1000.650573,1094.473765,1138.591374,950.161830,948.323691,27.227052,900.650573,994.473765,1038.591374,1048.323691,1138.591374,948.323691,1038.591374,1000,dwa_compute_velocity_commands,1000ms/dwa_1000ms_run-01.bag,1000ms/dwa_1000ms_run-01_timing.csv,SUCCEEDED,no,no,no,"regular path. The robot went past its destination and then turn back, The terminal did not visibly print ""GOAL REACHED"", but the bag containsa SUCCEEDED move_base result. Control miss loop (1s) Map Update (1s-1.1s)",incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_1000ms_run-02,1000,dwa_compute_velocity_commands,1000ms/run-2/dwa_1000ms_run-02.bag,95.187000,20.205000,,,87.304000,NO_RESULT,5.593176,0.245449,0.038943,0.220000,0.599894,1.370000,0.391304,627.401460,993.000000,1054.200000,1072.000000,0.146789,3.000000,38.645833,82.000000,5.000000,0.517640,0.197250,0.381056,0,2,0.333687,0.452558,1.150000,2619,436,48,138,/home/andretrap/Desktop/project/results/E2_DWA/1000ms/run-2/dwa_1000ms_run-02_timing.csv,all_rows,90,90,1000.000000,1000.129089,1000.060000,0.243338,1000.016000,1000.507150,1001.581000,0.129089,0.060000,0.016000,1.581000,1017.224304,1002.650238,23.555227,1000.597624,1059.443581,1087.496738,917.224304,902.650238,23.555227,900.597624,959.443581,987.496738,1002.650238,1087.496738,902.650238,987.496738,1000,dwa_compute_velocity_commands,1000ms/dwa_1000ms_run-02.bag,1000ms/dwa_1000ms_run-02_timing.csv,TIMEOUT,no,no,yes,"regular path, with huge reverse/movements at the start. The robot went past its destination and then turn back, but it never reached the goal (the message “GOAL REACHED” never appeared on the terminal). Control miss loop (1s) Map Update (1s-1.1s)",incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_1000ms_run-03,1000,dwa_compute_velocity_commands,1000ms/run-3/dwa_1000ms_run-03.bag,97.268000,25.283000,,,84.974000,NO_RESULT,6.402835,0.234841,0.096542,0.220000,0.179811,0.776291,0.349593,679.286885,1038.000000,1073.950000,1114.000000,0.148235,6.000000,35.160000,75.000000,5.000000,0.501141,0.251746,0.502345,0,2,0.456370,0.698970,1.145000,2549,425,50,123,/home/andretrap/Desktop/project/results/E2_DWA/1000ms/run-3/dwa_1000ms_run-03_timing.csv,all_rows,85,85,1000.000000,1000.152976,1000.061000,0.492701,1000.019000,1000.263000,1004.098000,0.152976,0.061000,0.019000,4.098000,1059.150829,1053.972658,18.420213,1034.629527,1092.599571,1130.166458,959.150829,953.972659,18.420213,934.629527,992.599571,1030.166458,1053.972658,1130.166458,953.972659,1030.166458,1000,dwa_compute_velocity_commands,1000ms/dwa_1000ms_run-03.bag,1000ms/dwa_1000ms_run-03_timing.csv,TIMEOUT,no,no,yes,"regular path, with huge reverse/movements at the start. The robot went past its destination and then turn back, this time with more difficulty, but it never reached the goal (the message “GOAL REACHED” never appeared on the terminal). The robot stopped too, nearby the arrival point. Control miss loop (1s) Map Update (1s-1.1s)",incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_2000ms_run-01,2000,dwa_compute_velocity_commands,E2_DWA/2000ms/dwa_2000ms_run-01.bag,166.959000,45.784000,,,151.765000,NO_RESULT,12.770120,0.120000,0.104934,0.220000,0.274307,1.110833,0.288660,1540.406250,2039.500000,2095.250000,2150.000000,0.166227,4.000000,28.848101,108.000000,5.000000,0.398799,0.384094,0.963127,0,0,0.455290,0.606981,2.159000,4553,758,158,97,/home/andretrap/Desktop/project/results/E2_DWA/2000ms/dwa_2000ms_run-01_timing.csv,all_rows,76,76,2000.000000,2000.239276,2000.059000,0.582422,2000.020000,2001.395750,2003.201000,0.239276,0.059000,0.020000,3.201000,2070.790217,2065.726260,25.480062,2040.645516,2122.522502,2176.425778,1970.790217,1965.726260,25.480062,1940.645516,2022.522502,2076.425778,2065.726260,2176.425778,1965.726260,2076.425778,2000,dwa_compute_velocity_commands,2000ms/dwa_2000ms_run-01.bag,2000ms/dwa_2000ms_run-01_timing.csv,TIMEOUT,no,no,yes,"The robot approached its destination with difficulty, following an almost random path, even coming close to obstacles without ever causing a physical collision. Once it was near its destination, it stopped. The “GOAL REACHED” log never appeared. Control miss loop and Map Update were similar, 2s-2.1s, but sometimes Map Update reached 4seconds",incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_200ms_run-01,200,dwa_compute_velocity_commands,200ms/run-1/dwa_200ms_run-01.bag,35.157000,152.800000,176.982000,24.182000,,SUCCEEDED,4.466828,0.231963,0.182200,0.220000,0.303687,1.474509,0.050000,240.676768,246.000000,265.500000,290.000000,0.250000,3.000000,32.137931,71.000000,5.000000,0.789072,0.700338,0.887547,3,1,0.429273,1.074771,0.355000,726,120,29,100,/home/andretrap/Desktop/project/results/E2_DWA/200ms/run-1/dwa_200ms_run-01_timing.csv,goal_to_result,99,99,200.000000,200.170535,200.060000,0.431937,200.023000,200.493800,202.655000,0.170535,0.060000,0.023000,2.655000,245.728774,247.271040,17.557987,200.698629,268.394029,294.534264,145.728774,147.271040,17.557987,100.698629,168.394029,194.534264,247.271040,294.534264,147.271040,194.534264,200,dwa_compute_velocity_commands,200ms/dwa_200ms_run-01.bag,200ms/dwa_200ms_run-01_timing.csv,SUCCEEDED,no,no,no,"regular path, control miss loop (0.200-0.300) & map update logs (0.400-0.500)",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_200ms_run-02,200,dwa_compute_velocity_commands,200ms/run-2/dwa_200ms_run-02.bag,38.168000,75.822000,100.855000,25.033000,,SUCCEEDED,4.547820,0.266130,0.173266,0.220000,0.329396,1.370000,0.061856,257.104167,267.000000,296.000000,420.000000,0.128000,2.000000,25.030303,100.000000,5.000000,0.905882,0.812596,0.897022,1,0,0.497176,1.201778,0.351000,751,125,33,97,/home/andretrap/Desktop/project/results/E2_DWA/200ms/run-2/dwa_200ms_run-02_timing.csv,goal_to_result,96,96,200.000000,200.119417,200.059000,0.178485,200.028000,200.629750,200.871000,0.119417,0.059000,0.028000,0.871000,262.423887,267.942239,31.710854,200.596200,296.064457,408.252816,162.423887,167.942239,31.710854,100.596200,196.064457,308.252816,267.942239,408.252816,167.942239,308.252816,200,dwa_compute_velocity_commands,200ms/dwa_200ms_run-02.bag,200ms/dwa_200ms_run-02_timing.csv,SUCCEEDED,no,no,no,"regular path, control miss loop & map update logs (min 0.200, max 0.430)",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2 (T-E5),dwa_200ms_run-03,200,dwa_compute_velocity_commands,200ms/run-3/dwa_200ms_run-03.bag,35.455000,39.543000,63.696000,24.153000,,SUCCEEDED,4.564676,0.264779,0.185887,0.220000,0.294145,1.494339,0.040000,240.494949,245.000000,262.000000,290.000000,0.123967,3.000000,32.612903,74.000000,5.000000,0.834276,0.686319,0.822652,1,2,0.406456,1.069402,0.344000,724,121,31,100,/home/andretrap/Desktop/project/results/E2_DWA/200ms/run-3/dwa_200ms_run-03_timing.csv,goal_to_result,99,99,200.000000,200.164465,200.061000,0.364120,200.034000,200.830400,202.261000,0.164465,0.061000,0.034000,2.261000,246.147453,248.191200,16.180750,200.787543,264.159315,298.074879,146.147453,148.191200,16.180750,100.787543,164.159315,198.074879,248.191200,298.074879,148.191200,198.074879,200,dwa_compute_velocity_commands,200ms/dwa_200ms_run-03.bag,200ms/dwa_200ms_run-03_timing.csv,SUCCEEDED,no,no,no,"regular path, control miss loop & map update logs (min 0.200, max 0.430)",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
